X,Y,Z
575287.17,1465530.5,1794.94397
575278.53,1465530.5,1794.94397
575269.89,1465530.5,1794.94397
575261.25,1465530.5,1794.94397
575252.61,1465530.5,1794.94397
575243.97,1465530.5,1794.94397
575235.33,1465530.5,1794.94397
575226.69,1465530.5,1794.94397
575218.06,1465530.5,1794.94397
575209.42,1465530.5,1856.07495
575200.78,1465530.5,1856.07495
575192.14,1465530.5,1856.07495
575183.5,1465530.5,1856.07495
575174.86,1465530.5,1856.07495
575166.22,1465530.5,1856.07495
575157.58,1465530.5,1856.07495
575148.94,1465530.5,1856.07495
575140.3,1465530.5,1856.07495
575131.66,1465530.5,1856.07495
575123.02,1465530.5,1917.78003
575114.38,1465530.5,1917.78003
575105.74,1465530.5,1917.78003
575097.1,1465530.5,1917.78003
575088.46,1465530.5,1917.78003
575079.82,1465530.5,1917.78003
575071.18,1465530.5,1917.78003
575062.54,1465530.5,1917.78003
575053.9,1465530.5,1917.78003
575045.26,1465530.5,1917.78003
575036.62,1465530.5,1917.78003
575027.98,1465530.5,1983.44104
575019.34,1465530.5,1983.44104
575010.7,1465530.5,1983.44104
575002.06,1465530.5,1983.44104
574993.42,1465530.5,1983.44104
574984.78,1465530.5,1983.44104
574976.14,1465530.5,1983.44104
574967.5,1465530.5,1983.44104
574958.86,1465530.5,1983.44104
574950.22,1465530.5,1983.44104
574941.58,1465530.5,2040.71497
574932.94,1465530.5,2040.71497
574924.31,1465530.5,2040.71497
574915.67,1465530.5,2040.71497
574907.03,1465530.5,2040.71497
574898.39,1465530.5,2040.71497
574889.75,1465530.5,2040.71497
574881.11,1465530.5,2040.71497
574872.47,1465530.5,2040.71497
574863.83,1465530.5,2040.71497
574855.19,1465530.5,2040.71497
574846.55,1465530.5,2099.64697
574837.91,1465530.5,2099.64697
574829.27,1465530.5,2099.64697
574820.63,1465530.5,2099.64697
574811.99,1465530.5,2099.64697
574803.35,1465530.5,2099.64697
574794.71,1465530.5,2099.64697
574786.07,1465530.5,2099.64697
574777.43,1465530.5,2099.64697
574768.79,1465530.5,2099.64697
574760.15,1465530.5,2186.63208
574751.51,1465530.5,2186.63208
574742.87,1465530.5,2186.63208
574734.23,1465530.5,2186.63208
574725.59,1465530.5,2186.63208
574716.95,1465530.5,2186.63208
574708.31,1465530.5,2186.63208
574699.67,1465530.5,2186.63208
574691.03,1465530.5,2186.63208
574682.39,1465530.5,2186.63208
574673.75,1465530.5,2186.63208
574665.11,1465530.5,2258.30908
574656.47,1465530.5,2258.30908
574647.83,1465530.5,2258.30908
574639.19,1465530.5,2258.30908
574630.56,1465530.5,2258.30908
574621.92,1465530.5,2258.30908
574613.28,1465530.5,2258.30908
574604.64,1465530.5,2258.30908
574596,1465530.5,2258.30908
574587.36,1465530.5,2258.30908
574578.72,1465530.5,2316.46289
574570.08,1465530.5,2316.46289
574561.44,1465530.5,2316.46289
574552.8,1465530.5,2316.46289
574544.16,1465530.5,2316.46289
574535.52,1465530.5,2316.46289
574526.88,1465530.5,2316.46289
574518.24,1465530.5,2316.46289
574509.6,1465530.5,2316.46289
574500.96,1465530.5,2316.46289
574492.32,1465530.5,2316.46289
574483.68,1465530.5,2371.44702
574475.04,1465530.5,2371.44702
574466.4,1465530.5,2371.44702
574457.76,1465530.5,2371.44702
574250.41,1465530.5,2408.77905
574241.77,1465530.5,2408.77905
574233.13,1465530.5,2408.77905
574224.49,1465530.5,2408.77905
574215.85,1465530.5,2365.89990
574207.21,1465530.5,2365.89990
574198.57,1465530.5,2365.89990
574189.93,1465530.5,2365.89990
574181.29,1465530.5,2365.89990
574172.65,1465530.5,2365.89990
574164.01,1465530.5,2365.89990
574155.37,1465530.5,2365.89990
574146.73,1465530.5,2365.89990
574138.09,1465530.5,2365.89990
574129.45,1465530.5,2365.89990
574120.81,1465530.5,2306.63501
574112.17,1465530.5,2306.63501
574103.53,1465530.5,2306.63501
574094.89,1465530.5,2306.63501
574086.25,1465530.5,2306.63501
574077.61,1465530.5,2306.63501
574068.97,1465530.5,2306.63501
574060.33,1465530.5,2306.63501
574051.69,1465530.5,2306.63501
574043.06,1465530.5,2306.63501
574034.42,1465530.5,2237.06689
574025.78,1465530.5,2237.06689
574017.14,1465530.5,2237.06689
574008.5,1465530.5,2237.06689
573999.86,1465530.5,2237.06689
573991.22,1465530.5,2237.06689
573982.58,1465530.5,2237.06689
573973.94,1465530.5,2237.06689
573965.3,1465530.5,2237.06689
573956.66,1465530.5,2237.06689
573948.02,1465530.5,2168.89111
573939.38,1465530.5,2168.89111
573930.74,1465530.5,2168.89111
573922.1,1465530.5,2168.89111
573913.46,1465530.5,2168.89111
573904.82,1465530.5,2168.89111
573896.18,1465530.5,2168.89111
573887.54,1465530.5,2168.89111
573878.9,1465530.5,2168.89111
573870.26,1465530.5,2168.89111
573861.62,1465530.5,2168.89111
573852.98,1465530.5,2103.43994
573844.34,1465530.5,2103.43994
573835.7,1465530.5,2103.43994
573827.06,1465530.5,2103.43994
573818.42,1465530.5,2103.43994
573809.78,1465530.5,2103.43994
573801.14,1465530.5,2103.43994
573792.51,1465530.5,2103.43994
573783.86,1465530.5,2103.43994
573775.22,1465530.5,2103.43994
573766.59,1465530.5,2042.64795
573757.95,1465530.5,2042.64795
573749.31,1465530.5,2042.64795
573740.67,1465530.5,2042.64795
573732.03,1465530.5,2042.64795
573723.39,1465530.5,2042.64795
573714.75,1465530.5,2042.64795
573706.11,1465530.5,2042.64795
573697.47,1465530.5,2042.64795
573688.83,1465530.5,2042.64795
573680.19,1465530.5,2042.64795
573671.55,1465530.5,1980.35803
573662.91,1465530.5,1980.35803
573654.27,1465530.5,1980.35803
573645.63,1465530.5,1980.35803
573636.99,1465530.5,1980.35803
573628.35,1465530.5,1980.35803
573619.71,1465530.5,1980.35803
573611.07,1465530.5,1980.35803
573602.43,1465530.5,1980.35803
573593.79,1465530.5,1980.35803
573585.15,1465530.5,1922.40198
573576.51,1465530.5,1922.40198
573567.87,1465530.5,1922.40198
573559.23,1465530.5,1922.40198
573550.59,1465530.5,1922.40198
573541.95,1465530.5,1922.40198
573533.31,1465530.5,1922.40198
573524.67,1465530.5,1922.40198
573516.04,1465530.5,1922.40198
573507.4,1465530.5,1922.40198
573498.76,1465530.5,1922.40198
573490.12,1465530.5,1864.10095
573481.48,1465530.5,1864.10095
573472.84,1465530.5,1864.10095
573464.2,1465530.5,1864.10095
573455.56,1465530.5,1864.10095
573446.92,1465530.5,1864.10095
573438.28,1465530.5,1864.10095
573429.64,1465530.5,1864.10095
573421,1465530.5,1864.10095
573412.36,1465530.5,1864.10095
573403.72,1465530.5,1802.97095
573395.08,1465530.5,1802.97095
573386.44,1465530.5,1802.97095
573377.8,1465530.5,1802.97095
573369.16,1465530.5,1802.97095
573360.52,1465530.5,1802.97095
573351.88,1465530.5,1802.97095
573343.24,1465530.5,1802.97095
573334.6,1465530.5,1802.97095
573325.96,1465530.5,1802.97095
573317.32,1465530.5,1802.97095
573308.68,1465530.5,1742.58301
573300.04,1465530.5,1742.58301
573291.4,1465530.5,1742.58301
573282.76,1465530.5,1742.58301
573274.12,1465530.5,1742.58301
573265.48,1465530.5,1742.58301
573256.84,1465530.5,1742.58301
573248.2,1465530.5,1742.58301
573239.56,1465530.5,1742.58301
573230.93,1465530.5,1742.58301
573222.29,1465530.5,1685.99402
573213.65,1465530.5,1685.99402
573205.01,1465530.5,1685.99402
573196.37,1465530.5,1685.99402
573187.73,1465530.5,1685.99402
573179.09,1465530.5,1685.99402
573170.45,1465530.5,1685.99402
573161.81,1465530.5,1685.99402
573153.17,1465530.5,1685.99402
573144.53,1465530.5,1685.99402
573135.89,1465530.5,1685.99402
573127.25,1465530.5,1627.94495
573118.61,1465530.5,1627.94495
573109.97,1465530.5,1627.94495
573101.33,1465530.5,1627.94495
573092.69,1465530.5,1627.94495
573084.05,1465530.5,1627.94495
573075.41,1465530.5,1627.94495
